file,activity,samples,channels
dws 200.csv,Downstairs,50,6
dws 201.csv,Downstairs,50,6
dws 202.csv,Downstairs,50,6
dws 203.csv,Downstairs,50,6
dws 204.csv,Downstairs,50,6
dws 205.csv,Downstairs,50,6
dws 206.csv,Downstairs,50,6
dws 207.csv,Downstairs,50,6
dws 208.csv,Downstairs,50,6
dws 209.csv,Downstairs,50,6
dws 210.csv,Downstairs,50,6
dws 211.csv,Downstairs,50,6
dws 212.csv,Downstairs,50,6
dws 213.csv,Downstairs,50,6
dws 214.csv,Downstairs,50,6
dws 215.csv,Downstairs,50,6
dws 216.csv,Downstairs,50,6
dws 217.csv,Downstairs,50,6
dws 218.csv,Downstairs,50,6
dws 219.csv,Downstairs,50,6
dws 220.csv,Downstairs,50,6
dws 221.csv,Downstairs,50,6
dws 222.csv,Downstairs,50,6
dws 223.csv,Downstairs,50,6
dws 224.csv,Downstairs,50,6
dws 225.csv,Downstairs,50,6
dws 226.csv,Downstairs,50,6
dws 227.csv,Downstairs,50,6
dws 228.csv,Downstairs,50,6
dws 229.csv,Downstairs,50,6
dws 230.csv,Downstairs,50,6
dws 231.csv,Downstairs,50,6
dws 232.csv,Downstairs,50,6
dws 233.csv,Downstairs,50,6
dws 234.csv,Downstairs,50,6
dws 235.csv,Downstairs,50,6
dws 236.csv,Downstairs,50,6
dws 237.csv,Downstairs,50,6
dws 238.csv,Downstairs,50,6
dws 239.csv,Downstairs,50,6
dws 240.csv,Downstairs,50,6
dws 241.csv,Downstairs,50,6
dws 242.csv,Downstairs,50,6
dws 243.csv,Downstairs,50,6
dws 244.csv,Downstairs,50,6
dws 245.csv,Downstairs,50,6
dws 246.csv,Downstairs,50,6
dws 247.csv,Downstairs,50,6
dws 248.csv,Downstairs,50,6
dws 249.csv,Downstairs,50,6
dws 250.csv,Downstairs,50,6
dws 251.csv,Downstairs,50,6
dws 252.csv,Downstairs,50,6
dws 253.csv,Downstairs,50,6
dws 254.csv,Downstairs,50,6
dws 255.csv,Downstairs,50,6
dws 256.csv,Downstairs,50,6
dws 257.csv,Downstairs,50,6
dws 258.csv,Downstairs,50,6
dws 259.csv,Downstairs,50,6
dws 260.csv,Downstairs,50,6
dws 261.csv,Downstairs,50,6
dws 262.csv,Downstairs,50,6
dws 263.csv,Downstairs,50,6
dws 264.csv,Downstairs,50,6
dws 265.csv,Downstairs,50,6
dws 266.csv,Downstairs,50,6
dws 267.csv,Downstairs,50,6
dws 268.csv,Downstairs,50,6
dws 269.csv,Downstairs,50,6
dws 270.csv,Downstairs,50,6
dws 271.csv,Downstairs,50,6
